id (Event ID),commonName (Event Name),Classification,Source 1,Source 2,Source 3,
GW190630_185205-v1,GW190630_185205,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190630_185205/v1,http://treasuremap.space/alerts?graceids=GW190630_185205,https://twitter.com/hashtag/GW190630_185205?src=hash,https://www.researchgate.net/publication/353399131_Conditional_Noise_Deep_Learning_for_Parameter_Estimation_of_Gravitational_Wave_Events
GW190701_203306-v1,GW190701_203306,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190701_203306/v2,http://treasuremap.space/alerts?graceids=GW190701_203306,https://gwburst.gitlab.io/public/analysis/gwtc2-waveform-reconstructions/events/S190701ah/report/all/index.html,
GW190706_222641-v1,GW190706_222641,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190706_222641/v1,http://treasuremap.space/alerts?graceids=GW190706_222641,https://ui.adsabs.harvard.edu/abs/2021APS..APRY16003O/abstract,
GW190707_093326-v1,GW190707_093326,PBH Candidate ,https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190707_093326/v2,https://twitter.com/LIGO/status/1382514260585050114,,
GW190708_232457-v1,GW190708_232457,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190708_232457/v2,https://twitter.com/ligo/status/1382530870037319680?lang=ar,https://books.google.co.in/books?id=cphEEAAAQBAJ&pg=PA194&lpg=PA194&dq=GW190708_232457&source=bl&ots=I1sux4dBYt&sig=ACfU3U0nD_hvecri9bx6VzOoPRDxFQL7aA&hl=en&sa=X&ved=2ahUKEwiMwMWNk-z2AhWWzjgGHcvvA7wQ6AF6BAgQEAM#v=onepage&q=GW190708_232457&f=false,
GW190719_215514-v1,GW190719_215514,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190719_215514/v2,https://twitter.com/hashtag/GW190719_215514?src=hash,,
GW190720_000836-v1,GW190720_000836,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190720_000836/v2,http://treasuremap.space/alerts?graceids=GW190720_000836,https://twitter.com/ligo/status/1382816250909188098,
GW190725_174728-v1,GW190725_174728,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190725_174728/v1,https://iopscience.iop.org/article/10.3847/1538-4357/ac1c03,https://iopscience.iop.org/article/10.3847/1538-4357/ac3982,
GW190727_060333-v1,GW190727_060333,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190727_060333/v2,http://www.treasuremap.space/alerts?graceids=GW190727_060333,https://www.researchgate.net/publication/357125580_Testing_General_Relativity_with_Gravitational_Waves_An_Overview/figures?lo=1,
GW190728_064510-v1,GW190728_064510,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190728_064510/v2,https://inspirehep.net/literature/1991402,,
GW190731_140936-v1,GW190731_140936,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190731_140936/v1,https://twitter.com/hashtag/GW190731_140936?src=hash,,
GW190803_022701-v1,GW190803_022701,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190803_022701/v1/,https://twitter.com/hashtag/GW190803_022701?src=hash,,
GW190805_211137-v1,GW190805_211137,Black Hole (High Mass),https://dcc.ligo.org/public/0173/P2100063/009/o3a_final.pdf,https://ui.adsabs.harvard.edu/abs/2022ApJ...924..129Q/abstract,,
GW190814-v2,GW190814,PBH Candidate,https://arxiv.org/abs/2007.06481,,,
GW190828_063405-v1,GW190828_063405,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190828_063405/v1/,https://twitter.com/ligo/status/1382892503221866502,,
GW190828_065509-v1,GW190828_065509,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190828_065509/v1/,http://treasuremap.space/alerts?graceids=GW190828_065509,,
GW190910_112807-v1,GW190910_112807,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190910_112807/v2,https://arxiv.org/pdf/2105.06384.pdf,,
GW190915_235702-v1,GW190915_235702,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190915_235702/v1,http://treasuremap.space/alerts?graceids=GW190915_235702,,
GW190916_200658-v1,GW190916_200658,Black Hole (High Mass),https://dcc.ligo.org/public/0170/P2000318/007/o3b_catalog.pdf,https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190916_200658/v1,,
GW190917_114630-v1,GW190917_114630,PBH Candidate,https://mobile.twitter.com/hashtag/GW190917_114630?src=hashtag_click,https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190917_114630/v1,,
GW190924_021846-v1,GW190924_021846,PBH Candidate,https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190924_021846/,https://ui.adsabs.harvard.edu/abs/2021PhRvX..11b1053A/abstract,,
GW190925_232845-v1,GW190925_232845,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190925_232845/v1,https://ui.adsabs.harvard.edu/abs/2021ApJ...922...76N/abstract,,
GW190926_050336-v1,GW190926_050336,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190926_050336/v1,https://iopscience.iop.org/article/10.3847/1538-4357/ac3982,,
GW190929_012149-v1,GW190929_012149,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2.1-confident/GW190929_012149/v2,https://twitter.com/hashtag/gw190929_012149?src=hash,,
GW190930_133541-v1,GW190930_133541,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-2/GW190930_133541/v1,http://treasuremap.space/alerts?graceids=GW190930_133541,https://www.uv.es/igwm2021/slides/Veronica_Villa-Ortega.pdf,
GW191103_012549-v1,GW191103_012549,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191103_012549/v1,https://dcc.ligo.org/public/0170/P2000318/008/o3b_catalog.pdf,https://arxiv.org/pdf/2112.06878.pdf,
GW191105_143521-v1,GW191105_143521,Black Hole (Low Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191105_143521/v1,https://arxiv.org/pdf/2203.10080.pdf,,
GW191109_010717-v1,GW191109_010717,Black Hole (High Mass),https://www.gw-openscience.org/eventapi/html/GWTC-3-confident/GW191109_010717/v1,https://www.ligo.org/science/Publication-O3bCatalog/,,
